2020-11-06:12:07:31,753 DEBUG    [fighter.py:40] Fighter running
2020-11-06:12:07:32,866 INFO     [bot.py:99] Current map coords: (5, -18)
2020-11-06:12:07:32,866 DEBUG    [bot.py:101] Changing map to destination (6, -18)
2020-11-06:12:07:37,511 INFO     [bot.py:109] Change map took 4.625551
2020-11-06:12:07:38,29 INFO     [bot.py:99] Current map coords: (6, -18)
2020-11-06:12:07:38,29 DEBUG    [bot.py:101] Changing map to destination (7, -18)
2020-11-06:12:07:44,194 INFO     [bot.py:109] Change map took 6.163309399999999
2020-11-06:12:07:44,734 INFO     [bot.py:99] Current map coords: (7, -18)
2020-11-06:12:07:44,734 DEBUG    [bot.py:101] Changing map to destination (8, -18)
2020-11-06:12:07:50,307 INFO     [bot.py:109] Change map took 5.543141199999999
2020-11-06:12:07:50,822 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:07:51,160 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:07:51,161 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:07:54,206 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:07:54,206 INFO     [bot.py:58] Enter combat took: 3.0451334999999986
2020-11-06:12:07:55,857 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:07:55,933 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:07:55,933 DEBUG    [fighter.py:107] fighting 4 mobs
2020-11-06:12:07:55,933 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:07:57,636 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:07:57,636 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:07:57,636 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:07:59,855 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:07:59,856 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:07:59,856 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:04,767 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:04,846 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:04,846 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:08:04,848 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:07,542 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:08:07,854 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:07,854 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:08:07,854 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:08:07,855 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:08:08,73 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:08:08,74 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:08:09,474 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:08:09,474 INFO     [bot.py:58] Enter combat took: 1.4002319000000014
2020-11-06:12:08:11,107 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:11,189 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:11,189 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:08:11,189 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:13,96 DEBUG    [fighter.py:82] Fight ended detected
